"STATION","NAME","DATE","CDSD","EMNT","EMXT","HDSD","TAVG","TMAX","TMIN"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1926-01","0","-19","52",,"22.0","33.5","10.5"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1926-02","0","-5","49",,"23.6","34.0","13.3"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1926-03","0","-7","63",,"28.3","40.4","16.1"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1926-04","0","11","76",,"40.0","54.5","25.6"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1926-05","4","23","87",,"53.9","73.1","34.7"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1926-06","19","29","94",,"58.9","75.0","42.8"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1926-07","100","38","96","51","65.9","81.4","50.5"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1926-08","233","40","91","91","68.0","80.4","55.6"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1926-09","254","34","85","232","60.7","73.7","47.8"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1926-10","263","24","85","753","47.7","59.1","36.4"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1926-11","263","7","67","1587","35.2","44.7","25.7"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1926-12","263","-17","44","2930","21.7","32.6","10.8"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1927-01","0","-11","51","4182","23.3","32.2","14.3"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1927-02","0","12","56","5062","31.1","40.1","22.2"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1927-03","0","5","75","5860","37.5","50.4","24.6"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1927-04","1","17","80","6519","43.1","57.1","29.0"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1927-05","12","24","90","6852","53.9","67.0","40.8"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1927-06","35","30","92","7075","58.1","74.1","42.2"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1927-07","135","35","93","43","67.0","81.8","52.1"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1927-08","151","34","89","190","60.4","75.2","45.6"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1927-09","180","27","91","343","60.2","77.7","42.8"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1927-11",,"18","72",,"43.6","55.0","32.1"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1927-12",,"-2","61",,"27.0","37.1","16.8"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1928-01","0","-13","59",,"25.1","34.8","15.3"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1928-02","0","-10","55",,"24.5","36.3","12.6"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1928-03","0","-3","73",,"31.1","43.1","19.1"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1928-04","0","11","80",,"40.5","55.0","25.9"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1928-05","2","21","88",,"53.1","71.7","34.4"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1928-06","40","31","88",,"61.6","75.8","47.4"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1928-07","160","42","92","18","68.5","82.9","54.1"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1928-08","322","41","93","38","70.1","84.6","55.6"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1928-09","335","28","88","315","55.9","70.8","41.0"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1928-10","339","21","85","713","50.9","66.2","35.7"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1928-11","339","13","72","1506","38.6","48.3","28.8"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1928-12","339","-2","54","2584","30.2","40.1","20.3"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1929-01","0","-20","67","3921","21.9","33.5","10.3"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1929-02","0","-20","55","5111","22.5","34.4","10.6"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1929-03","0","-2","83","5931","38.5","54.0","23.0"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1929-04","0","23","84","6434","47.1","61.3","32.9"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1929-05","21","23","93","6838","52.2","68.8","35.6"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1929-06",,,,,,,
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1929-07",,,"92",,,"83.2",
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1929-08",,,,,,,
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1929-09",,"24","91",,"59.1","75.2","43.0"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1929-10",,"21","79",,"45.5","59.1","31.9"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1929-11",,"-2","74",,"35.5","46.5","24.4"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1929-12",,"-9","57",,"28.8","37.3","20.2"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1930-01","0","-23","58",,"24.8","36.5","13.0"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1930-02","0","-18","69",,"30.8","43.0","18.7"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1930-03","0","-9","67",,"31.8","44.7","18.9"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1930-04",,,"83",,,"59.1",
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1930-05",,,"89",,,"72.3",
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1930-06",,"28","91",,"63.5","79.8","47.2"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1930-07",,"37","99","41","67.2","85.3","49.2"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1930-08",,"32","100","111","65.6","83.3","47.9"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1930-09",,"30","91","227","62.6","81.1","44.2"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1930-10",,"17","93","778","46.7","62.2","31.1"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1930-11",,"-9","72","1613","37.2","50.0","24.4"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1930-12",,"-7","45","2827","25.8","34.4","17.3"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1931-01","0","-9","56","4023","25.1","36.7","13.6"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1931-02","0","-1","60","5047","28.4","38.6","18.2"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1931-03","0","14","60","6054","32.5","41.1","24.0"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1931-04","0","18","80","6669","43.8","59.5","28.1"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1931-05","14","19","89","7031","53.8","70.8","36.8"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1931-06","73","31","93","7153","62.9","78.7","47.1"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1931-07","260","41","98","15","70.7","85.7","55.8"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1931-08","359","42","93","41","67.4","82.1","52.8"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1931-09","461","30","94","136","65.2","80.1","50.3"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1931-10","463","23","83","572","51.0","67.3","34.7"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1931-11","463","22","72","1160","45.4","56.6","34.2"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1931-12","463","9","61","2066","34.7","44.8","24.6"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1932-01","0","17","67","2915","37.6","46.6","28.6"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1932-02","0","7","72","3776","30.9","41.8","20.1"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1932-03","0","-6","70","4872","29.6","41.3","18.0"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1932-04","0","16","80","5546","42.5","56.4","28.7"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1932-05","10","23","88","5877","54.1","71.3","36.9"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1932-06","85","29","89","6000","63.4","79.2","47.6"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1932-07","158","39","91","44","66.1","82.1","50.0"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1932-08","210","36","94","96","65.0","83.6","46.4"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1932-09","278","27","98","262","61.5","80.2","42.8"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1932-10",,,"79",,,"63.7",
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1932-11",,"4","62",,"35.9","47.9","23.9"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1932-12",,"-14","66",,"27.7","41.3","14.1"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1933-01","0","-4","65",,"32.9","44.0","21.8"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1933-02","0","-16","59",,"26.0","40.1","11.9"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1933-03","0","3","70",,"31.6","42.8","20.5"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1933-04","0","22","78",,"49.4","64.5","34.3"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1933-05","25","31","86",,"59.2","74.3","44.1"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1933-06","163","30","98",,"67.1","84.0","50.2"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1933-07","321","41","101","30","69.1","86.9","51.3"
