region,lat,lon,max_distance,max_distance_miles
US,42.390457105959065,-119.05235421665675,305149.21844262263,189.61093367398308
Alabama,31.958827252162724,-88.46538032203266,79583.11436139038,49.45065465269724
Arizona,36.9991060033173,-109.49267542919175,242931.0811586677,150.95037553106587
Arkansas,35.477786191357396,-93.22299596411807,86225.14951259298,53.57782395348227
California,41.48689380655545,-119.99948725435682,216641.3800790023,134.61471262763106
Colorado,37.609013881022676,-102.78413058926292,215523.34372686537,133.91999704653907
Connecticut,41.614150775021166,-73.52158913945559,37702.57186996411,23.427292033253366
Delaware,39.02334856427292,-75.57099572361817,73097.69451521533,45.420801590719776
District of Columbia,38.8017862031494,-77.02585888565464,7868.91349226153,4.88951615829899
Florida,24.547716,-82.15865300000002,187949.56505735786,116.78644532017881
Georgia,33.39165707155716,-83.0217920081016,92046.16750729433,57.194836844884826
Idaho,45.533860254036746,-115.059331289574,245604.19848033207,152.61137362821873
Illinois,37.87376083372142,-89.93409155587582,74610.9491466068,46.36109442518616
Indiana,38.924956859333555,-85.30329499266138,68671.55361261235,42.67052514105893
Iowa,40.74591552274022,-93.27040359370868,98344.95693359121,61.10872314035483
Kansas,39.2264250565274,-102.04789530431847,190289.2476810402,118.24025670151329
Kentucky,38.70198261611752,-83.51425254725137,93067.91331949134,57.829720258373186
Louisiana,28.976550999999997,-89.14336399999999,140528.8237790388,87.32056277529153
Maine,46.69523,-69.99708599999998,248071.66621858047,154.1445869985413
Maryland,38.97842514497601,-75.87083122241754,73512.48882583977,45.67854282604575
Massachusetts,41.252466,-69.965725,108588.75830639344,67.47392621241539
Michigan,46.68444655019252,-85.81478400404221,165599.0864662521,102.89850179094843
Minnesota,48.106954576729585,-90.46129493766512,235937.7866288657,146.60494377141598
Mississippi,32.655712291369404,-91.01228188191861,98614.30826080148,61.27609029567419
Missouri,39.971973835185786,-92.90899327917947,126957.88988431088,78.8879754013504
Montana,48.99863523816408,-112.03016863651251,265167.8153651466,164.7676415764104
Nebraska,42.997942869930604,-101.09637999716139,212119.6527082981,131.80504150032442
Nevada,41.993558536813225,-119.07990896617375,281558.4279642911,174.9522960686411
New Hampshire,45.305476,-71.08556399999999,102233.09767954181,63.52470179125271
New Jersey,40.95773935188968,-75.03206445624927,58205.75629308302,36.1673801829087
New Mexico,36.80395380006934,-109.0454326228646,225145.60208336756,139.89899119353447
New York,44.99806199999999,-74.722574,90444.72126858516,56.199744286234115
North Carolina,35.47723164811862,-75.47177269553794,165763.05971690896,103.0003900452041
North Dakota,48.99934902733297,-99.40103458681945,283078.1866618845,175.89663034247772
Ohio,38.71905175810281,-83.48825380017509,94155.97099430634,58.50580795299596
Oklahoma,37.000104,-103.002199,171690.46987973384,106.68351196495829
Oregon,42.390457105959065,-119.05235421665675,305149.21844262263,189.61093367398308
Pennsylvania,41.75946876769272,-75.8634283095488,78665.02703462256,48.88018163588553
Rhode Island,41.463974,-71.170131,47998.62153022424,29.824960685984003
South Carolina,34.72864799999999,-83.353238,73074.96701336205,45.40667937579663
South Dakota,43.9694672366195,-100.6077360027479,288770.77385539166,179.43384003382226
Tennessee,35.016215369458045,-88.84522293281506,73568.01189371034,45.71304326092516
Texas,34.19380056758583,-100.27756968212131,204402.44096961673,127.00978844151201
Utah,37.301907093317176,-110.17183791531315,265299.50764124916,164.84947136302068
Vermont,43.282892,-72.407842,71552.30026248604,44.460538121424655
Virginia,38.14815466000508,-79.80139255767824,85739.14236301533,53.27583311151334
Washington,48.381156999999995,-124.73182799999998,182639.80307953342,113.48711218952158
West Virginia,38.158145856998246,-80.06033788393225,87847.5859721421,54.58595923068163
Wisconsin,47.080006,-90.73086499999998,132649.25933351915,82.4244284214681
Wyoming,44.64706165659523,-105.03716329831275,213575.90265696673,132.7099132671242
