n_guests,mean_number_passes,inefficiency
2,1.0,0.0
3,3.00123,0.500615
4,6.005882,1.0019606666666667
5,9.995077,1.49876925
6,14.988407,1.9976814000000003
7,20.986174,2.4976956666666665
8,27.976896,2.9966994285714286
9,35.991094,3.4988867499999996
10,44.979126,3.9976806666666667
11,54.95716,4.495716
12,65.9647,4.996790909090908
13,77.947957,5.4956630833333335
14,90.911023,5.993155615384615
15,104.899362,6.492811571428571
16,119.947266,6.9964844
17,135.924572,7.495285750000001
18,152.896958,7.9939387058823534
19,170.920932,8.495607333333332
20,189.848918,8.992048315789473
