n_guests,guest_number,count,probability_last,mean_number_passes
2,1,1000000,1.0,1.0
3,1,499223,0.499223,3.0014782972739638
3,2,500777,0.500777,3.0009824732365904
4,1,333158,0.333158,5.673872456912336
4,2,333710,0.33371,6.674735548829823
4,3,333132,0.333132,5.667903413661851
5,1,250165,0.250165,9.008774209022045
5,2,250116,0.250116,10.98527483247773
5,3,249482,0.249482,10.996043802759317
5,4,250237,0.250237,8.993430228143719
6,1,200532,0.200532,12.988899527257495
6,2,200316,0.200316,15.965993729906748
6,3,199332,0.199332,17.011026829610902
6,4,199305,0.199305,16.016848548706754
6,5,200515,0.200515,12.978545245991572
7,1,166990,0.16699,17.699700580873106
7,2,166795,0.166795,21.645163224317276
7,3,166626,0.166626,23.633640608308426
7,4,166419,0.166419,23.62923103732146
7,5,166634,0.166634,21.64450832363143
7,6,166536,0.166536,17.672773454388242
8,1,142483,0.142483,23.051936020437527
8,2,143238,0.143238,28.008642957874308
8,3,143127,0.143127,30.941939675952128
8,4,142329,0.142329,31.946377758573448
8,5,142957,0.142957,30.987646635002132
8,6,142919,0.142919,27.965728839412535
8,7,142947,0.142947,22.933164039818955
9,1,125162,0.125162,28.99603713587191
9,2,125186,0.125186,35.066980333264105
9,3,124902,0.124902,39.037109093529324
9,4,124732,0.124732,40.926458326652345
9,5,125869,0.125869,40.970119727653355
9,6,124599,0.124599,38.997969486111444
9,7,124873,0.124873,35.03089538971595
9,8,124677,0.124677,28.882279811031704
10,1,111474,0.111474,35.63487449988338
10,2,110952,0.110952,42.69161439180907
10,3,110867,0.110867,47.58589120297293
10,4,111667,0.111667,50.69157405500282
10,5,110764,0.110764,51.67467769311329
10,6,111186,0.111186,50.62820858741208
10,7,111482,0.111482,47.66547065894046
10,8,110701,0.110701,42.63480908031544
10,9,110907,0.110907,35.591648858953896
11,1,100020,0.10002,42.94152169566087
11,2,100382,0.100382,50.90100814887131
11,3,100632,0.100632,57.10621869782972
11,4,99669,0.099669,60.880454303745395
11,5,99845,0.099845,63.07902248485152
11,6,99762,0.099762,62.8363304665103
11,7,99714,0.099714,61.00224642477485
11,8,99849,0.099849,56.98937395467156
11,9,100430,0.10043,50.87107438016529
11,10,99697,0.099697,43.02137476553958
12,1,91013,0.091013,50.92675771593069
12,2,90990,0.09099,59.9186943620178
12,3,91229,0.091229,66.78715101557619
12,4,90839,0.090839,72.1754973084248
12,5,90616,0.090616,74.87187693122627
